Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot c,422,2018,New england,Female,White,Junior college,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,About right,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,423,2018,New england,Male,White,High school,Divorced,Catholic,Pretty happy,$25000 or more,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot c,424,2018,New england,Female,Other,High school,Never married,Buddhism,Not too happy,Don't know,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,No answer,Yes
Ballot b,425,2018,New england,Female,White,High school,Married,Catholic,Very happy,$25000 or more,Independent,No answer,Not applicable,Not applicable,Too much,Too little,About right,Too much,Too much,Too little,Not applicable,No
Ballot c,426,2018,New england,Female,White,Graduate,Married,Catholic,Very happy,$25000 or more,"Ind,near rep",Slghtly conservative,No,Oppose,About right,Too much,About right,About right,About right,Too little,Romney,Yes
Ballot b,427,2018,Pacific,Female,White,Graduate,Married,Protestant,Pretty happy,Lt $1000,Not str republican,Conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Romney,Yes
Ballot a,428,2018,Pacific,Male,Other,Graduate,Married,None,Pretty happy,Refused,Not str democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,429,2018,Pacific,Female,White,Bachelor,Divorced,None,Very happy,Refused,Strong democrat,Extremely liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,430,2018,Pacific,Female,Other,High school,Married,Protestant,Very happy,$25000 or more,Not str democrat,Moderate,No,Favor,Too much,Too little,Too little,Too little,Too much,Too little,Not applicable,Yes
Ballot c,431,2018,Pacific,Female,White,Bachelor,Divorced,Catholic,Pretty happy,$25000 or more,Strong democrat,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,432,2018,Pacific,Male,White,Bachelor,Married,Protestant,Very happy,Refused,Not str republican,Slghtly conservative,Yes,Favor,Too much,Too little,Too little,Too much,Don't know,Too little,Other candidate (specify),Yes
Ballot b,433,2018,Pacific,Female,White,Graduate,Widowed,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,434,2018,Pacific,Female,Other,Bachelor,Married,Protestant,Pretty happy,$25000 or more,Independent,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,435,2018,Pacific,Male,White,Lt high school,Widowed,Catholic,Pretty happy,Don't know,Strong democrat,Liberal,No,Favor,About right,About right,About right,About right,About right,Don't know,Obama,Don't know
Ballot a,436,2018,Pacific,Female,Other,Bachelor,Married,Catholic,Very happy,Refused,Other party,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,437,2018,Pacific,Female,White,Lt high school,Widowed,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Too much,About right,Too little,About right,About right,About right,Obama,No
Ballot c,438,2018,Pacific,Female,White,Bachelor,Married,Protestant,Very happy,Refused,Strong republican,Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot b,439,2018,Pacific,Female,White,Graduate,Married,Catholic,Very happy,Refused,"Ind,near rep",Moderate,Not applicable,Not applicable,About right,About right,Too much,Too much,About right,Too little,Romney,Yes
Ballot c,440,2018,Pacific,Female,Black,High school,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,Too much,Too little,Too little,Too little,Don't know,Too little,Not applicable,No
Ballot c,441,2018,Pacific,Male,Other,Graduate,Married,Hinduism,Very happy,$20000 - 24999,"Ind,near dem",Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,No
Ballot c,442,2018,Pacific,Female,White,Bachelor,Married,None,Pretty happy,$25000 or more,Strong democrat,Moderate,No,Favor,Too much,Too little,Too little,About right,About right,Too little,Obama,Don't know
Ballot b,443,2018,Pacific,Female,Other,Bachelor,Never married,None,Not too happy,Refused,Other party,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot a,444,2018,Pacific,Female,Other,High school,Married,Moslem/islam,Very happy,$25000 or more,Strong democrat,Liberal,No,Don't know,About right,Too little,Too little,About right,Too little,Too little,Obama,Yes
Ballot c,445,2018,Pacific,Female,Black,High school,Married,Catholic,Pretty happy,$25000 or more,Independent,Don't know,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot b,446,2018,Pacific,Male,Other,High school,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Moderate,Not applicable,Not applicable,About right,Too little,About right,About right,Too much,Too little,Not applicable,Yes
Ballot c,447,2018,Pacific,Female,Other,High school,Never married,Catholic,Not too happy,$25000 or more,Not str democrat,Conservative,No,Favor,Too much,About right,About right,About right,About right,Too little,Not applicable,Yes
Ballot a,448,2018,Pacific,Female,Black,Bachelor,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Liberal,No,Oppose,Too much,Too little,Too little,About right,Too much,Too little,Obama,Yes
Ballot c,449,2018,Pacific,Female,White,High school,Widowed,Protestant,Pretty happy,Refused,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Obama,Don't know
Ballot b,450,2018,Pacific,Female,Black,Lt high school,Never married,Catholic,Pretty happy,Don't know,Not str democrat,Don't know,Not applicable,Not applicable,Too little,Too little,Too much,Too little,Too much,Too little,Obama,Yes
Ballot a,451,2018,Pacific,Male,Black,High school,Never married,No answer,Pretty happy,$25000 or more,Strong democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Obama,Yes
Ballot c,452,2018,Pacific,Female,White,Bachelor,Married,None,Pretty happy,$25000 or more,Not str democrat,Liberal,No,Favor,About right,Too little,Too little,About right,Too little,Too little,Not applicable,Yes
Ballot b,453,2018,Pacific,Female,Other,Lt high school,Widowed,None,Very happy,$25000 or more,Independent,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,454,2018,Pacific,Female,White,Bachelor,Never married,Protestant,Very happy,Refused,Strong democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,455,2018,Pacific,Female,Black,Graduate,Divorced,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,456,2018,Pacific,Male,Other,High school,Never married,Catholic,Very happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Too much,Too little,Too little,Too little,About right,About right,Not applicable,Yes
Ballot c,457,2018,Pacific,Male,Black,Bachelor,Separated,None,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,458,2018,Pacific,Female,Other,High school,Married,None,Very happy,Refused,Not str republican,Extremely liberal,No,Favor,About right,About right,About right,About right,About right,Too little,Not applicable,Yes
Ballot a,459,2018,Pacific,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Other party,Conservative,No,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Romney,Yes
Ballot b,460,2018,Pacific,Female,White,Junior college,Married,Protestant,Pretty happy,$25000 or more,Not str democrat,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot c,461,2018,Pacific,Male,White,Bachelor,Married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,462,2018,Pacific,Female,Other,Bachelor,Never married,Catholic,Very happy,$25000 or more,"Ind,near rep",Slghtly conservative,Yes,Favor,About right,Too little,Too little,About right,Too little,About right,Not applicable,Yes
Ballot c,463,2018,Pacific,Male,White,Junior college,Married,None,Pretty happy,$25000 or more,Independent,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Don't know
Ballot b,464,2018,Pacific,Male,White,Bachelor,Never married,None,Pretty happy,$25000 or more,"Ind,near dem",Liberal,Not applicable,Not applicable,Too much,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot a,465,2018,Pacific,Female,White,Bachelor,Married,Protestant,Very happy,Refused,"Ind,near dem",Moderate,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot c,466,2018,Pacific,Female,White,High school,Never married,Protestant,Not too happy,$25000 or more,Independent,Moderate,No,Oppose,About right,Too little,About right,Don't know,Don't know,Too little,Not applicable,Yes
Ballot b,467,2018,Pacific,Female,Other,Junior college,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,468,2018,Pacific,Male,White,High school,Married,Protestant,Pretty happy,Refused,Not str republican,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot a,469,2018,Pacific,Female,White,Bachelor,Married,Protestant,Pretty happy,Refused,"Ind,near rep",Slghtly conservative,Yes,Favor,Too much,About right,Too little,Don't know,Too much,Too little,Romney,No
Ballot b,470,2018,Pacific,Female,White,High school,Divorced,Catholic,Pretty happy,$25000 or more,Other party,Slghtly conservative,Not applicable,Not applicable,Too little,Too little,About right,Too little,About right,About right,Romney,No
Ballot a,471,2018,Pacific,Female,White,Graduate,Divorced,Protestant,Not too happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot c,472,2018,Pacific,Female,Other,Graduate,Divorced,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Too much,Too little,Too little,About right,About right,Too little,Not applicable,Yes
Ballot a,473,2018,Pacific,Female,White,Graduate,Married,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,Yes,Favor,About right,About right,Too little,About right,About right,Too little,Obama,Yes
Ballot c,474,2018,Pacific,Male,White,Graduate,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,475,2018,Pacific,Female,Other,Lt high school,Never married,None,Pretty happy,$8000 to 9999,Independent,Don't know,No,Oppose,Too little,Too little,Too little,Too little,Don't know,Too little,Not applicable,Yes
Ballot b,476,2018,Pacific,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,477,2018,W. sou. central,Female,White,Graduate,Married,None,Pretty happy,$25000 or more,"Ind,near dem",Liberal,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,478,2018,W. sou. central,Male,Other,Bachelor,Married,Moslem/islam,Not too happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,Too much,About right,Too little,Too little,Don't know,Too little,Not applicable,Yes
Ballot a,479,2018,W. sou. central,Female,White,High school,Married,Protestant,Not too happy,$25000 or more,Strong republican,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot c,480,2018,W. sou. central,Male,White,High school,Never married,None,Not too happy,$25000 or more,"Ind,near dem",Slightly liberal,No,Favor,Too much,Too little,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot b,481,2018,W. sou. central,Female,Other,Graduate,Never married,Protestant,Pretty happy,$25000 or more,Not str republican,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,482,2018,W. sou. central,Female,Black,High school,Married,None,Pretty happy,$25000 or more,"Ind,near dem",Extremely liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot a,483,2018,W. sou. central,Female,White,High school,Married,Protestant,Very happy,Refused,No answer,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,No answer,No
Ballot c,484,2018,W. sou. central,Male,White,High school,Never married,None,Pretty happy,$25000 or more,"Ind,near rep",Moderate,Yes,Oppose,About right,Too little,About right,About right,About right,Too little,Not applicable,Don't know
Ballot a,485,2018,W. sou. central,Male,White,Bachelor,Widowed,Protestant,Very happy,$25000 or more,"Ind,near rep",Conservative,Refused,Favor,Too little,Too much,About right,Too little,Too little,Too little,Romney,Yes
Ballot c,486,2018,W. sou. central,Female,Black,High school,Divorced,Protestant,Not too happy,$20000 - 24999,Strong democrat,Slghtly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,487,2018,W. sou. central,Female,Black,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,Strong democrat,Slghtly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,488,2018,W. sou. central,Female,White,High school,Widowed,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,489,2018,W. sou. central,Male,White,Lt high school,Married,Catholic,Very happy,$25000 or more,"Ind,near dem",Slightly liberal,Not applicable,Not applicable,Too much,Too little,Too little,About right,About right,About right,Not applicable,No
Ballot c,490,2018,W. sou. central,Female,White,High school,Never married,Protestant,Not too happy,Refused,Strong democrat,Slightly liberal,No,Favor,Don't know,Too little,Too little,Too little,Don't know,Too little,Obama,Yes
Ballot b,491,2018,W. sou. central,Female,White,Bachelor,Married,Protestant,Very happy,Refused,Not str republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,492,2018,W. sou. central,Male,White,Graduate,Married,Protestant,Very happy,Refused,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot c,493,2018,W. sou. central,Female,White,Graduate,Divorced,Protestant,Pretty happy,Refused,Strong democrat,Liberal,No,Favor,About right,Too little,Too little,About right,Too little,Too little,Obama,Yes
Ballot c,494,2018,W. sou. central,Male,White,Graduate,Married,Protestant,Very happy,Refused,Strong republican,Conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Romney,Don't know
Ballot c,495,2018,W. sou. central,Female,White,Bachelor,Never married,Protestant,Pretty happy,$25000 or more,Strong republican,Extrmly conservative,No,Favor,About right,Too little,Too little,Too little,About right,About right,Romney,Yes
Ballot a,496,2018,W. sou. central,Female,Black,Lt high school,Never married,Protestant,Pretty happy,$15000 - 19999,Strong democrat,Moderate,No,Favor,About right,About right,Too little,About right,About right,Too little,Obama,Yes
Ballot c,497,2018,W. sou. central,Female,Black,High school,Never married,Protestant,Very happy,$25000 or more,"Ind,near rep",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot c,498,2018,W. sou. central,Female,White,Lt high school,Separated,Catholic,Pretty happy,$3000 to 3999,Independent,Liberal,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot b,499,2018,W. sou. central,Male,White,Lt high school,Married,Catholic,Very happy,$20000 - 24999,Independent,Slghtly conservative,Not applicable,Not applicable,Too little,About right,Too little,Too much,Too much,Too little,Not applicable,Don't know
Ballot a,500,2018,W. sou. central,Female,Black,Bachelor,Married,Protestant,Not too happy,$25000 or more,No answer,No answer,No,Favor,Too much,Too little,Too much,Too little,About right,Too little,No answer,Yes
Ballot b,501,2018,W. sou. central,Male,White,High school,Married,None,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,Too much,About right,Too little,Too little,Too little,About right,Not applicable,Yes
Ballot a,502,2018,W. sou. central,Male,Black,Bachelor,Married,Catholic,Very happy,$25000 or more,"Ind,near dem",Slightly liberal,Yes,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,503,2018,W. sou. central,Female,White,Bachelor,Married,Protestant,Very happy,$25000 or more,Not str republican,Slghtly conservative,Yes,Favor,About right,Too little,Too much,About right,About right,Too little,Romney,Yes
Ballot c,504,2018,W. sou. central,Male,White,High school,Married,None,Very happy,$25000 or more,"Ind,near rep",Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,505,2018,W. sou. central,Male,Other,High school,Married,None,Pretty happy,$25000 or more,Not str democrat,Liberal,Not applicable,Not applicable,About right,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot c,506,2018,W. sou. central,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Slightly liberal,Yes,Favor,Too much,Too little,About right,Too much,Too much,Too little,Romney,Yes
Ballot b,507,2018,W. sou. central,Male,White,Graduate,Married,Protestant,Very happy,$25000 or more,Independent,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot a,508,2018,W. sou. central,Female,Other,Bachelor,Married,Moslem/islam,Very happy,$25000 or more,Not str democrat,Moderate,No,Favor,Too much,Too little,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot c,509,2018,W. sou. central,Male,White,Graduate,Married,None,Pretty happy,Refused,"Ind,near dem",Liberal,Yes,Oppose,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,No
Ballot b,510,2018,W. sou. central,Female,Black,Bachelor,Married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Moderate,Not applicable,Not applicable,About right,Too little,Too little,Don't know,Don't know,Too little,Obama,Yes
Ballot c,511,2018,W. sou. central,Female,Other,Graduate,Widowed,Catholic,Not too happy,$25000 or more,"Ind,near dem",Moderate,No,Favor,Too much,Too little,About right,Too little,About right,Too little,Obama,Yes
Ballot a,512,2018,W. sou. central,Female,White,Bachelor,Married,Protestant,Very happy,Refused,Independent,Slghtly conservative,Yes,Oppose,About right,Too little,Too little,Too little,About right,About right,Obama,Yes
Ballot a,513,2018,W. sou. central,Male,White,Bachelor,Married,Other,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot a,514,2018,W. sou. central,Male,White,Bachelor,Married,Jewish,Pretty happy,$25000 or more,Independent,Moderate,Yes,Oppose,Too much,Too little,Too little,About right,About right,About right,Obama,Don't know
Ballot a,515,2018,W. sou. central,Male,White,Bachelor,Married,Catholic,Pretty happy,Refused,Not str republican,Slghtly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,No
Ballot c,516,2018,W. sou. central,Female,White,High school,Married,Protestant,Pretty happy,Refused,Not str republican,Moderate,Yes,Favor,Too much,About right,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot c,517,2018,W. sou. central,Male,White,Bachelor,Married,Protestant,Very happy,$25000 or more,Not str republican,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot a,518,2018,W. sou. central,Female,White,Bachelor,Married,Protestant,Very happy,$25000 or more,Not str democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot c,519,2018,W. sou. central,Female,White,Bachelor,Widowed,Protestant,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Too much,About right,Don't know,About right,About right,About right,Obama,Don't know
Ballot b,520,2018,W. sou. central,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot c,521,2018,W. sou. central,Male,White,Bachelor,Married,Protestant,Pretty happy,$25000 or more,Not str republican,Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,522,2018,W. sou. central,Female,White,High school,Married,Protestant,Very happy,$25000 or more,Strong republican,Slghtly conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,Too little,About right,Romney,Yes
Ballot b,523,2018,W. sou. central,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Other party,Extrmly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot a,524,2018,W. sou. central,Male,White,High school,Never married,Protestant,Pretty happy,$15000 - 19999,No answer,Moderate,Yes,Oppose,Too much,Don't know,Too little,Too little,About right,Too little,Not applicable,Yes
Ballot c,525,2018,W. sou. central,Female,White,High school,Married,Protestant,Pretty happy,Refused,Not str republican,Slghtly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,526,2018,W. sou. central,Female,White,High school,Never married,Protestant,Pretty happy,$20000 - 24999,Independent,No answer,Not applicable,Not applicable,About right,Too little,About right,Don't know,Too much,Too little,Not applicable,Yes
Ballot a,527,2018,W. sou. central,Female,White,High school,Married,Protestant,Very happy,Refused,Independent,Moderate,Yes,Don't know,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot b,528,2018,W. sou. central,Female,White,High school,Widowed,Protestant,Pretty happy,$8000 to 9999,Not str republican,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,Yes
Ballot a,529,2018,W. sou. central,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Not str republican,Slghtly conservative,Yes,Oppose,About right,Too little,Too little,Too little,Too much,Too little,Not applicable,Yes
Ballot c,530,2018,W. sou. central,Female,White,High school,Divorced,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Don't know
Ballot a,531,2018,W. sou. central,Female,Black,High school,Never married,Protestant,Pretty happy,$3000 to 3999,Strong democrat,Slghtly conservative,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot b,532,2018,W. sou. central,Male,Black,High school,Divorced,Protestant,Not too happy,$10000 - 14999,Strong democrat,Slightly liberal,Not applicable,Not applicable,Too much,About right,About right,Too much,Too little,Too little,Obama,Yes
Ballot b,533,2018,W. sou. central,Male,Black,High school,Never married,Protestant,Pretty happy,$25000 or more,"Ind,near dem",Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,534,2018,W. sou. central,Male,White,Graduate,Married,Protestant,Very happy,$25000 or more,Strong republican,Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot a,535,2018,W. sou. central,Female,White,High school,Married,Catholic,Very happy,Refused,Strong republican,Slightly liberal,Yes,No answer,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Romney,Yes
Ballot c,536,2018,W. sou. central,Female,White,High school,Married,Protestant,Very happy,$20000 - 24999,Other party,Extrmly conservative,Yes,Favor,Too much,Too little,Don't know,Don't know,Don't know,Too little,Romney,Yes
Ballot b,537,2018,W. sou. central,Female,Other,Lt high school,Widowed,Catholic,Not too happy,Lt $1000,Independent,Don't know,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Not applicable,Not applicable,Not applicable,No
Ballot a,538,2018,W. sou. central,Male,White,Bachelor,Married,Protestant,Pretty happy,Refused,Not str republican,Conservative,Yes,Favor,About right,Too little,Too little,Too little,About right,About right,Romney,Yes
Ballot c,539,2018,W. sou. central,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Don't know
Ballot a,540,2018,W. sou. central,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,"Ind,near rep",Moderate,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,541,2018,W. sou. central,Female,White,Graduate,Divorced,Protestant,Not too happy,$25000 or more,"Ind,near dem",Liberal,No,Oppose,About right,Too much,About right,About right,About right,Too little,Not applicable,Yes
Ballot b,542,2018,W. sou. central,Male,White,Bachelor,Married,Protestant,Pretty happy,Refused,"Ind,near rep",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,543,2018,W. sou. central,Male,Black,Bachelor,Never married,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,Yes,Favor,About right,Too little,Too little,About right,About right,About right,Obama,Yes
Ballot c,544,2018,W. sou. central,Male,Other,High school,Married,None,Pretty happy,Refused,"Ind,near dem",Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,No
Ballot b,545,2018,W. sou. central,Female,White,Junior college,Divorced,Protestant,Pretty happy,$25000 or more,Independent,Liberal,Not applicable,Not applicable,Too little,Too little,Too little,About right,About right,Too little,Not applicable,Yes
Ballot c,546,2018,W. sou. central,Female,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Slightly liberal,Yes,Oppose,Too little,Too little,About right,About right,Don't know,Too little,Not applicable,Yes
Ballot a,547,2018,W. sou. central,Female,White,High school,Married,Other,Very happy,$20000 - 24999,Not str republican,Moderate,No,Favor,Too little,Too little,Too little,Too much,Too little,Too much,Don't know,Yes
Ballot a,548,2018,W. sou. central,Male,Black,Lt high school,Never married,None,Pretty happy,$15000 - 19999,Not str democrat,Slghtly conservative,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot a,549,2018,W. sou. central,Female,Black,Lt high school,Widowed,Protestant,Pretty happy,Lt $1000,Strong democrat,Slghtly conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot a,550,2018,South atlantic,Female,White,Graduate,Divorced,Protestant,Very happy,$25000 or more,"Ind,near dem",Slightly liberal,No,Favor,About right,Too little,Too little,About right,About right,About right,Obama,Yes
Ballot a,551,2018,South atlantic,Male,White,Bachelor,Married,Catholic,Very happy,$25000 or more,Independent,Moderate,Yes,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot b,552,2018,South atlantic,Male,White,High school,Divorced,Jewish,Pretty happy,Refused,Not str democrat,Liberal,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,About right,Obama,No
